ticket_number,vehicle_number,gross_weight,tare_weight,net_weight,parsed_at,is_weight_valid
2026-02-020016,8713,12480,7470,5010,2026-02-06 10:47:44.676642,True
0000,5405,14080,13950,130,2026-02-06 10:47:44.677249,True
2026-02-02-00004,80구8713,13460,7560,5900,2026-02-06 10:47:44.677802,True
0022,0580,14230,12910,1320,2026-02-06 10:47:44.678278,True
